Engagements,Followers at Posting,Type,Description,Month,Weekday,Seconds
752321,31097770,Video,We celebrate Derrick Roses 30th Birthday with his #NBAMixtape! #NBABDAY,October,Thursday,52991
330275,31097770,Photo,Join us in wishing Derrick Rose of the @timberwolves a HAPPY 30th BIRTHDAY! #NBABDAY,October,Thursday,46920
677622,31097770,Video,@giannis_an34 fills it up with 19p/13r/5a in 22 mins for the @bucks! #NBAPreseason,October,Thursday,18605
407099,31082284,Album,Five winners in tonights #NBAPreseason action!,October,Thursday,18397
336230,31082284,Photo,Atop Shanghai. @bensimmons x @joelembiid. #NBAChinaGames,October,Thursday,17605
677635,31082284,Video,@danilogallogallinari sets up @trezz24! #NBAPreseason,October,Thursday,15557
333352,31082284,Photo,The @dallasmavs take their team photo ahead of #NBAChinaGames!,October,Thursday,11436
793630,31082284,Video,Coach Fizdale likes the hustle! #NBAPreseason,October,Thursday,6346
787209,31082284,Video,Block Party in Brooklyn!,October,Thursday,6138
723960,31082284,Video,@giannis_an34 bringing the intensity early in #nbapreseason action!,October,Thursday,3769
660406,31082284,Video,@_bigjayy_ opens up the @brooklynnets #NBAPreseason with a denial!,October,Wednesday,85772
610107,31082284,Video,13 days from #KiaTipOff18... @spidadmitchell was selected 13th overall by the @UtahJazz in 2017!,October,Wednesday,73106
997260,31082284,Video,?? Every angle of @kingjames first rim-rocker at home! #NBAPreseason,October,Wednesday,50661
286945,31082284,Album,#NBAPreseason Ws for the @houstonrockets @hornets @cavs  @utahjazz & @nuggets tonight!,October,Wednesday,19055
814334,31082284,Video,Lance in transition! #NBAPreseason,October,Wednesday,18165
514391,31026589,Video,"@joelembiid, @bensimmons & @megalodon20 have arrived for #NBAChinaGames! @sixers take on @dallasmavs Oct. 5 in Shanghai.",October,Wednesday,15236
700577,31026589,Video,Poetry in Motion! #NBAPreseason #PhantomCam,October,Wednesday,15131
723973,31026589,Video,Will Barton beats the first-half buzzer @nbaontnt! #NBAPreseason,October,Wednesday,14240
660418,31026589,Video,@spidadmitchell with the birthday present for @joeingles7! #NBAPreseason,October,Wednesday,13780
665805,31026589,Video,@graysonjallen gets UP for the @utahjazz! #NBAPreseason #NBARooks,October,Wednesday,11865
862068,31026589,Video,?????????? #NBAPreseason,October,Wednesday,11470
391333,31026589,Photo,???? #NBAPreseason,October,Wednesday,11427
890701,31026589,Video,@kingjames drives for his first #NBAPreason bucket at the @staplescenterla!,October,Wednesday,10627
358253,31026589,Photo,@kingjames laces up for his @staplescenterla #NBAPreseason debut for the @lakers @nbaontnt! #NBAKicks,October,Wednesday,8535
660418,31026589,Video,@spidadmitchell sets up @rudygobert27! #NBAPreseason,October,Wednesday,5934
602442,31026589,Video,@cp3 finds his new @houstonrockets teammate @quese from distance! #NBAPresason,October,Wednesday,4486
717356,31026589,Video,@cp3 threads the needle to @carmeloanthony ????! #NBAPreseason,October,Wednesday,1472
723973,31026589,Video,Toss it up... @therea1djones will take care of the rest! #NBAPreseason,October,Tuesday,85674
812509,31026589,Video,@kingjames arrives for his @staplescenterla #NBAPreseason debut (10:30pm/et @nbaontnt)!,October,Tuesday,85095
610118,31026589,Video,@dbook shooting FTs after @Suns practice. He made 25 in a row. #SunsAllAccess,October,Tuesday,77568
615095,31026589,Video,The @suns surprise @tysonchandler with a cake on his birthday! #ThisIsWhyWePlay #NBABDAY,October,Tuesday,75077
615095,31026589,Video,"After tallying 24/10/3 in his #NBAPreseason debut, @deandreayton hits the floor for todays @suns practice! #SunsAllAccess",October,Tuesday,70226
556558,31026589,Video,@chicagobulls No. 7 overall pick @wendellcarterjr puts in work with @jabariparker! Check out our IG Story for more #BullsAllAccess!,October,Tuesday,67919
686303,31026589,Video,"Ahead of season 21, @swish41 arrives in Shanghai for #NBAChinaGames! #ThisIsWhyWePlay",October,Tuesday,41198
677647,31026589,Video,"24 points, 10 boards and 3 blocks... @deandreayton came to play in his @suns #NBAPreseason debut!",October,Tuesday,17672
270826,31026589,Album,"The @nyknicks, @atlhawks, @sixers and @sacramentokings are each victorious in Mondays #NBAPreseason action!",October,Tuesday,17223
665805,31026589,Video,Top pick @deandreayton gets up for the @suns! #NBAPreseason #NBARooks,October,Tuesday,10154
665805,31026589,Video,@washwizards rook @troybrown.jr gets it to fall! #NBAPreseason #NBARooks,October,Tuesday,7501
855093,31026589,Video,?? Denied in DC! ??,October,Tuesday,4950
660418,31026589,Video,@youngheirgordon goes up and under for the @orlandomagic! #NBAPreseason,October,Tuesday,1354
319902,31026589,Photo,3 MVP awards in 35 days? @BreannaStewart30 is WINNING. ?????? #WatchMeWork (repost @wnba),October,Monday,79946
304183,31026589,Photo,Get your own new threads in time for opening night ?? @nbastore!,October,Monday,58412
391395,31026589,Album,10 teams hit the floor for Sundays #NBAPreseason action!,October,Monday,17533
913937,31026589,Video,@kingjames puts up 9/3/3 in his @lakers #NBAPreseason debut in San Diego.,October,Monday,15347
706574,31026589,Video,@kuz finds @javalemcgee on the @lakers break! #NBAPreseason,October,Monday,11564
774571,31026589,Video,The @lakers move the ball and find @javalemcgee! #NBAPreseason,October,Monday,9851
1044657,31026589,Video,@kingjames droppin dimes and triples early for the @lakers in ESPN! #NBAPreseason,October,Monday,7130
343684,31026589,Photo,Were underway on ESPN! #NBAPreseason,October,Monday,6209
387090,31026589,Photo,?@kingjames prepares for his @Lakers #NBAPreseason opener (9:30pm/et ESPN)! ?,October,Monday,2790
774571,31026589,Video,"@rajonrondo gets loose behind the arc ahead of his @lakers #NBAPreseason debut (9:30pm/et, ESPN)!",October,Monday,488
849111,31026589,Video,@gordonhayward hustles back to protect the paint! #NBAPreseason,September,Sunday,85476
348985,31026589,Photo,@kingjames arrives for his @lakers #NBAPreseason debut (9:30pm/et @espn)!,September,Sunday,85237
856037,31026589,Video,@dwyanewade x Coach Pop! #OneLastDance #ThisIsWhyWePlay,September,Sunday,84680
679035,31026589,Video,"@kingjames to @rajonrondo, back to @kingjames! #PhantomCam ??:@lakers/@nuggets ?:9:30pm/et ??:ESPN",September,Sunday,79528
159402,31026589,Photo,"?? 3rd straight @FIBA World Cup Gold Medal ??
?? 22nd straight FIBA win ?? Automatic berth in the 2020 Olympics 
Congratulations, @usabasketball! #USABWNT (repost @wnba)",September,Sunday,74899
275168,31026589,Photo,@kingjames and the @lakers open up #NBAPreseason action hosting the @nuggets in San Diego (9:30pm/et @nbaonespn)!,September,Sunday,69535
252476,31009808,Album,"The @raptors, @timberwolves, @dallasmavs and @utahjazz each open up #NBAPreseason play 1-0!",September,Sunday,13421
774585,31009808,Video,@desmith4 breaks out the moves for the @dallasmavs! #NBAPreseason,September,Sunday,8249
774585,31009808,Video,@money23green hits ahead to @easymoneysniper! #NBAPreseason,September,Sunday,8238
856052,31009808,Video,@lukadoncic shows off the handles through the lane! #NBAPreseason #NBARooks,September,Sunday,6360
922334,31009808,Video,Fresh legs for @andre ?? #NBAPreseason,September,Sunday,5804
774585,31009808,Video,@lukadoncic goes coast-to-coast to get on the board for @dallasmavs! #NBAPreseason,September,Sunday,4455
370124,31009808,Photo,The North! #ThisIsWhyWePlay,September,Sunday,4367
922334,31009808,Video,@desmith4 follows up the miss ???? #NBAPreseason,September,Sunday,4145
938434,31009808,Video,Kawhi Leonard steps back in Vancouver! #NBACanadaSeries #NBAPreseason,September,Sunday,962
848228,31009808,Video,???? @sergeibaka protects the paint for the @raptors in Vancouver! #NBACanadaSeries #NBAPreseason,September,Saturday,85052
715589,31009808,Video,"We met Jaheem one year ago while recovering from his third surgery. Today, he joined his favorite players on @thegarden floor #ThisIsWhyWePlay (repost @nyknicks)",September,Saturday,78057
1057987,31009808,Video,"17 days from #KiaTipOff18... @KingJames dished 17 assists without a turnover 3/21/18! 
The 2018-19 NBA season tips off October 16th!",September,Saturday,72659
291836,31009808,Album,"What are your HOPES for the @spurs this NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Saturday,62546
798446,30982731,Video,"For his 30th Birthday, we showcase @easymoneysnipers handles! #NBABDAY",September,Saturday,52031
325436,30982731,Photo,Join us in wishing @easymoneysniper of the @warriors a HAPPY 30th BIRTHDAY! #NBABDAY,September,Saturday,43542
277992,30982731,Album,The @sixers and @hornets each open up the #NBAPreseason with a win!,September,Saturday,9443
729338,30982731,Video,@hornets rook @milesbridges cleans up the miss! #NBARooks #NBAPreseason,September,Saturday,7601
793056,30982731,Video,@markellefultz hustles back! #NBAPreseason,September,Saturday,2831
659929,30982731,Video,@gordonhayward gets on the board for the @celtics on @nbatv! #NBAPreseason,September,Saturday,1061
659929,30982731,Video,@gordonhayward gets on the board for the @celtics on @nbatv! #NBAPreseason,September,Friday,85982
723437,30982731,Video,@bensimmons gets the #NBAPreseason underway IN STYLE with the dish to @markellefultz!,September,Friday,84496
732654,30982731,Video,"Heroes, youll never be forgotten. @chap writes a message to the victims of 9/11 during his visit to the 9/11 Memorial. #NetsAllAccess",September,Friday,69890
265392,30982731,Album,"For Buzz City... what are you most looking forward to from the @hornets this NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Friday,61613
1005732,30982731,Video,17 days from #KiaTipOff18... @kingjames dished 17 assists without a turnover 3/21/18!,September,Friday,60337
286385,30982731,Photo,Whos ready for some basketball?? The #NBAPreseason tips off TONIGHT with @celtics/@hornets at UNC (7:30pm/et @nbatv)! #ThisIsWhyWePlay,September,Friday,52393
312825,30980005,Album,"Sacramento Proud... what are you looking forward to from the @SacramentoKings this NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Friday,20145
312825,30980005,Photo,"Sacramento Proud... what are you looking forward to from the @SacramentoKings this NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Friday,17775
324930,30980005,Album,"All Eyes North... what are your expectations for the @Timberwolves this NBA season?

#ThisIsWhyWePlay #NBAMediaDay",September,Friday,1086
281912,30980005,Album,"For Rip City... what are you most looking forward to from the @trailblazers this NBA season?

#ThisIsWhyWePlay #NBAMediaDay",September,Thursday,77884
281912,30980005,Photo,True to Atlanta... what are your HOPES for the @atlhawks this NBA season? #ThisIsWhyWePlay #NBAMediaDay,September,Thursday,69755
680258,30951224,Video,"Current @BrooklynNets assistant coach & former NBA player, Pablo Prigioni, works out BKN rook @dzananmusa before practice! #NetsAllAccess",September,Thursday,54684
332240,30951224,Photo,"Bulls Nation... what are you most looking forward to from the @chicagobulls this upcoming NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Thursday,24335
332240,30951224,Album,"For The North... what are your expectations for the @Raptors this upcoming NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Thursday,15676
299355,30951224,Photo,Led by an All-Star backcourt... what are your HOPES for the @washwizards this upcoming NBA season? #ThisIsWhyWePlay #NBAMediaDay,September,Thursday,9070
854476,30951224,Video,?? the BEST PLAYS from all 8 players selected in todays @NBA2KLeague Expansion Draft!,September,Thursday,767
259723,30951224,Album,Whats your outlook for the @brooklynnets this upcoming NBA season? #ThisIsWhyWePlay #NBAMediaDay,September,Wednesday,73592
273272,30951224,Photo,"What are you most looking forward to from the @Pacers this season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Wednesday,56198
342014,30928279,Photo,"?? How far you do YOU think the @celtics will go this upcoming NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Wednesday,44709
306102,30928279,Photo,"Doing it BIG... what are YOUR expectations for the @PelicansNBA this upcoming NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Wednesday,18130
316898,30928279,Photo,"Thunder Up... how far you do YOU think the @okcthunder will go this upcoming NBA season?

#ThisIsWhyWePlay #NBAMediaDay",September,Wednesday,12342
316898,30928279,Photo,"What are your HOPES for the @LAClippers this upcoming NBA season? 
#ThisIsWhyWePlay #NBAMediaDay",September,Wednesday,6728
320721,30928279,Photo,?????? what are you most looking forward to from the @miamiheat this season? #ThisIsWhyWePlay #NBAMediaDay,September,Wednesday,1203
316898,30928279,Photo,"Basketball, a mile high... what are your expectations for the @nuggets this upcoming NBA season? #ThisIsWhyWePlay #NBAMediaDay",September,Tuesday,81446
320696,30928279,Photo,Ready to defend for #DubNation... what are you looking forward to from the @warriors this season? #ThisIsWhyWePlay #NBAMediaDay,September,Tuesday,71178
289285,30928279,Photo,Young bigs on the rise... what are your HOPES for the @orlandomagic this season? #ThisIsWhyWePlay #NBAMediaDay,September,Tuesday,55882
289224,30896174,Photo,Ready to grind... whats YOUR outlook for the @memgrizz this NBA season? #ThisIsWhyWePlay #NBAMediaDay,September,Tuesday,50868
817502,30896174,Video,21 days from #KiaTipOff18... we showcase Dirk & Vince heading into their 21st seasons!,September,Tuesday,46767
329243,30896174,Album,?Coming off a trip to the Western Conference Finals... what do YOU expect from the @HoustonRockets this NBA season? ? ?#ThisIsWhyWePlay #NBAMediaDay ?,September,Tuesday,20655
406252,30896174,Photo,?For The Land... what are your hopes for the @cavs this upcoming NBA season?? ?#ThisIsWhyWePlay #NBAMediaDay ?,September,Tuesday,15031
317373,30896174,Photo,?What do YOU expect from the @bucks this upcoming NBA season?? ?#ThisIsWhyWePlay #NBAMediaDay ?,September,Tuesday,10741
312338,30896174,Photo,What are YOUR expectations for the @nyknicks this upcoming NBA season? #ThisIsWhyWePlay #NBAMediaDay,September,Tuesday,2994
348202,30896174,Photo,A new chapter for one of the greats begins in LA... what are your HOPES for the @lakers this upcoming NBA season? #ThisIsWhyWePlay #NBAMediaDay,September,Monday,83389
809741,30896174,Video,For #DubNation. #NBAMediaDay,September,Monday,80436
763923,30896174,Video,@boogiecousins takes his official @warriors portraits! #NBAMediaDay,September,Monday,75276
988161,30896174,Video,@kingjames checks in during his sixteenth #NBAMediaDay,September,Monday,73388
287255,30896174,Photo,No. 0 for the @warriors... @boogiecousins! #NBAMediaDay,September,Monday,73031
300575,30896174,Photo,???? Back-to-back #NBAFinals MVP. #NBAMediaDay,September,Monday,70924
298181,30896174,Photo,Standing Tall! #NBAMediaDay,September,Monday,70161
333166,30896174,Photo,"#23 for the @lakers, @kingjames! #NBAMediaDay",September,Monday,69744
822282,30896174,Video,@kingjames gets his first @lakers portraits taken by @adbphotoinc! #NBAMediaDay,September,Monday,69486
336504,30896174,Album,#NBAKicks from the @celtics for their #NBAMediaDay!,September,Monday,68209
285124,30896174,Photo,2x Defensive Player of the Year. 2014 NBA Finals MVP. New @raptors threads for Kawhi Leonard! #NBAMediaDay,September,Monday,53106
337518,30849233,Photo,Caption that! #ThisIsWhyWePlay #NBAMediaDay,September,Saturday,56041
305572,30824729,Album,"Coming off their return to the Playoffs, what are YOUR expectations for the @sixers this NBA season? #ThisIsWhyWePlay #NBAMediaDay",September,Saturday,1300
265117,30824729,Photo,What are YOUR HOPES for the @dallasmavs this NBA season? #ThisIsWhyWePlay #NBAMediaDay,September,Friday,77741
609700,30824729,Video,As he goes through his 21st #NBAMediaDay with the @DallasMavs... we flash back to @swish41's first as a rookie ahead of the 1998-99 season! (repost @nbahistory),September,Friday,75463
265117,30824729,Album,Get ready for the new NBA season with the latest gear from @nbastore!,September,Friday,62243
799842,30806789,Video,3??2??1?? @joelembiids TOP 3 SWATS for the @sixers this past season!,September,Friday,37141
799842,30806789,Video,3??2??1?? @giannis_an34s TOP 3 SWATS for the @bucks this past season!,September,Friday,16414
328477,30806789,Photo,Battleknit 2.0. The new Nike #LeBron16 Fresh Bred ?? is now available in stores and online @footlocker!,September,Friday,8214
720137,30806789,Video,3??2??1?? @spidadmitchells TOP 3 CROSSOVERS for the @utahjazz this past season!,September,Thursday,65513
799857,30775900,Video,3??2??1?? @_kw15s TOP 3 CROSSOVERS for the @hornets this past season!,September,Thursday,35134
720150,30775900,Video,3??2??1?? @cp3s TOP 3 CROSSOVERS for the @houstonrockets this past season!,September,Wednesday,80371
817546,30775900,Video,"What are YOUR HOPES for the upcoming NBA season? 
#ThisIsWhyWePlay
The season tips off October 16th!",September,Wednesday,59517
978353,30775900,Video,3??2??1?? @kyrieirvings TOP 3 CROSSOVERS for the @celtics this past season!,September,Wednesday,48452
779535,30761540,Video,3??2??1???? @joelembiids TOP 3 DUNKS for the @sixers this past season!,September,Wednesday,1395
732734,30761540,Video,28 days til #KiaTipOff18... we showcase @dbooks 28 in the final round!,September,Tuesday,62635
733008,30737718,Video,3??2??1???? @vicoladipos TOP 3 DUNKS for the @pacers this past season!,September,Tuesday,45366
861539,30737718,Video,@therealmobamba has some fun while shopping in Orlando ?? #ADayWithMo,September,Tuesday,4561
723529,30737718,Video,@orlandomagic rook @therealmobamba picks up some new supplies for his new home in Orlando! #ADayWithMo,September,Monday,83368
720176,30737718,Video,3??2??1???? @jaytatum0s TOP 3 DUNKS for the @celtics this past season!,September,Monday,68293
733008,30737718,Video,3??2??1???? @giannis_an34s TOP 3 DUNKS for the @bucks this past season!,September,Monday,50872
311709,30719053,Photo,One Last Dance. (repost @dwyanewade),September,Monday,2183
239447,30719053,Album,Keeping busy.. 55 current players & 38 retired players visited 26 countries on 6 continents to spread & share the game this summer! #GlobalGame???? #ThisIsWhyWePlay,September,Sunday,82656
1077014,30719053,Video,"30 days from #KiaTipOff18... we flashback to @KingJames scoring his 30,000th point, this past January in San Antonio!",September,Sunday,57975
767644,30696638,Video,"@manuginobili's son, Nico, had one last pitch to keep his father from retiring

Chicken tenders from the @attcenter. ?? #GraciasManu (repost @spurs)",September,Sunday,4840
335677,30696638,Album,Get ready for the new NBA season with fresh gear from @nbastore!,September,Saturday,85439
284105,30696638,Photo,All smiles! 30?? x 10?? x ???? @neymarjr (repost @stephencurry30),September,Saturday,47558
253239,30663885,Photo,Join us in wishing @JimmyButler of the @Timberwolves a HAPPY 29th BIRTHDAY! #NBABDAY,September,Friday,43807
204974,30645418,Album,Congrats to the 2018 All-@wnba first & second teams! #WatchMeWork,September,Thursday,45372
298754,30645418,Photo,"The regular season MVP... and now #WNBAFinals MVP, @breannastewart30!",September,Thursday,8131
188034,30645418,Photo,The CHAMPS... congrats to the 2018 @wnba champion @seattlestorm!,September,Thursday,7587
225247,30645418,Photo,"The @seattlestorm look to secure the title, while the @washmystics look to force a Game 4 in the #WNBAFinals presented by @youtube TV!",September,Wednesday,45806
609777,30627312,Video,Put in the work and its EASY MONEY - @kobebryant  I learned so much and was in awe to see the footwork in person. Thanks @alexbazzell24 for setting it up! Here to prove older dogs can learn new tricks! #2019 (repost @candaceparker),September,Tuesday,72683
680369,30627312,Video,The #NBA2K19 Standard Edition featuring @Giannis_An34 is available! Get your copy of @NBA2K now nba.2k.com/buy,September,Tuesday,57370
732800,30613042,Video,The Fresh Prince of Philadelphia.... @bensimmons rookie season #NBAMixtape!,September,Monday,75183
236897,30586755,Album,Recently released at the @nbastore... ????@mitchellness 1997-98 @chicagobulls authentic jersey! #MJMondays,September,Monday,52291
283035,30586755,Photo,The @seattlestorm take 2-0 lead in the #WNBAFinals presented by @youtube TV with 75-73 victory!,September,Sunday,80099
154556,30586755,Photo,"Congratulations to the @lvaces' @aja22wilson on being unanimously selected for Rookie of the Year after leading rookies in PTS, REB & BLK! (repost @wnba)",September,Sunday,65431
234810,30586755,Photo,The @seattlestorm look to take 2-0 lead while the @washmystics look to even up the #WNBAFinals presented by @youtube TV 1-1!,September,Sunday,55922
307249,30566280,Album,?? shop the new @stancehoops #HardwoodClassics socks from @nbastore! ??,September,Sunday,7377
320187,30566280,Album,The brotherhood! #ThisIsWhyWePlay,September,Saturday,73030
320187,30566280,Photo,2011 champs!,September,Saturday,58026
277211,30554242,Photo,The @seattlestorm take 1-0 series lead in the 2018 #WNBAFinals presented by @youtube TV with 89-76 victory!,September,Saturday,12828
305030,30554242,Photo,Miami representing for @trayfour!,September,Saturday,9819
335640,30554242,Photo,Congrats fellas... #18HoopClass legends!,September,Saturday,9751
277211,30554242,Photo,"Welcome to the @hoophall, @trayfour! #18HoopClass",September,Saturday,8585
277211,30554242,Photo,"Welcome to the @hoophall, @stevenash! #18HoopClass",September,Saturday,7209
799713,30554242,Video,"""I want to thank the fans. That's why we're here. There's interest and demand for this game."" - @SteveNash 
#ThisIsWhyWePlay #18HoopClass",September,Saturday,6694
277211,30554242,Photo,"Welcome to the @hoophall, @iamtinathompson! #18HoopClass",September,Saturday,5628
305030,30554242,Photo,"Welcome to the @hoophall, Jason Kidd! #18HoopClass",September,Saturday,4768
305030,30554242,Photo,"Welcome to the @hoophall, Dino Radja! #18HoopClass",September,Saturday,3833
277211,30554242,Photo,"Welcome to the @hoophall, @charliescott.33! #18HoopClass",September,Saturday,2720
277211,30554242,Photo,"Welcome to the @hoophall, @smith30! #18HoopClass",September,Saturday,308
952256,30554242,Video,Mo Cheeks on his mother ?? #18HoopClass #ThisIsWhyWePlay,September,Friday,86382
277211,30554242,Photo,"Welcome to the @hoophall, @realgranthill! #18HoopClass",September,Friday,84261
809903,30554242,Video,From the 1994 #NBADraft to the #18HoopClass!,September,Friday,79611
609810,30554242,Video,2x champ @trayfour enters the @hoophall TONIGHT 7pm/et @nbatv! #18HoopClass,September,Friday,75240
803350,30554242,Video,"Be the One, and Build Your Squad for Global Dominance. #NBALIVE19. Available Now.",September,Friday,68639
260204,30534152,Photo,The 2018 #WNBAFinals between the @washmystics & @seattlestorm tips off at 9pm/et on ESPNews! ??????????,September,Friday,55749
255054,30534152,Photo,"Its @hoophall Enshrinement Day for the #18HoopClass! ????
@nbatvs coverage tips off at 6pm/et with red carpet special!",September,Friday,50474
312205,30534152,Photo,Join us in wishing @kevinlove of the @cavs a HAPPY 30th BIRTHDAY! #NBABDAY,September,Friday,41717
732840,30534152,Video,@trayfour represents both NBA titles! #18HoopClass,September,Thursday,82773
294433,30534152,Photo,Nash x Nowitzki... @swish41 arrives to support @stevenash! #18HoopClass,September,Thursday,82456
668507,30534152,Video,"Ahead of Fridays @hoophall Enshrinement Ceremony, we showcase @trayfours TOP PLAY with each team! #18HoopClass",September,Thursday,78037
281087,30534152,Photo,The #18HoopClass... catch tomorrows ceremony (7pm/et @nbatv)!,September,Thursday,68441
815807,30534152,Video,Getting in summer work... @kingjames & @bensimmons team up in NYC! (repost @cbrickley603),September,Thursday,66130
744844,30534152,Video,@trayfours memorable Game 6 in the 2013 #NBAFinals! #NBAvault #18HoopClass,September,Thursday,63326
745898,30534152,Video,40 days from #KiaTipOff18... @desmith4 threw down 40 dunks in his rookie season!,September,Thursday,55467
268778,30534152,Photo,Join us in wishing @johnwall of the @washwizards a HAPPY 28th BIRTHDAY! #NBABDAY,September,Thursday,43152
331294,30517060,Album,"Congrats to 2018 Curt Gowdy Media Award winner, NBA photographer @adbphotoinc! #18HoopClass",September,Thursday,28939
680431,30517060,Video,What was your favorite @stevenash dime?? #18HoopClass Ceremony: 7pm/et Friday @nbatv,September,Wednesday,53875
247642,30517060,Album,The @seattlestorm and @washmystics each win to advance to the #WNBAFinals (9pm/et Friday ESPNews)!,September,Wednesday,41539
735738,30500197,Video,"Bird to the rescue???? @sbird10 nets 1??4?? 4th quarter points to lift her @seattlestorm to victory, advancing to the #WNBAFinals (repost @wnba)",September,Wednesday,21808
305242,30500197,Photo,"What a game! @seattlestorm get hot in 4Q to defeat the Mercury 94-84, advancing to their 3rd #WNBAFinals in franchise history #WNBAPlayoffs",September,Wednesday,21645
317273,30500197,Photo,"For the FIRST TIME in franchise history, the @washmystics are headed to the #WNBAFinals with 86-81 victory!??",September,Wednesday,8133
199783,30500197,Photo,GAMEDAY! Who will book trips to the #WNBAFinals?? Find out tonight with BACK-TO-BACK winner-take-all Semifinals Game 5s! #WNBAPlayoffs (repost @wnba),September,Tuesday,48767
720306,30480444,Video,The Top 3 NO-LOOK ?? dimes from @hoophall inductee Jason Kidd! (Repost @nbahistory),September,Monday,79460
720306,30480444,Video,3??2??1??. Counting down the Top 3 career SLAMS from @realgranthill! (Repost @nbahistory),September,Monday,64951
752023,30480444,Video,43 days from #KiaTipOff18...we look back on @easymoneysnipers masterful 43 point performance in Game 3 of the 2018 #NBAFinals!,September,Monday,49473
706830,30461718,Video,@brittneyyevettegriner for the @phoenixmercury win! There will be a Game 5. #WNBAPlayoffs (Repost @wnba),September,Sunday,84326
557221,30461718,Video,@de11edonne returns with 15 points & 10 rebounds to spark @washmystics and force a Game 5! #PhantomCam (Repost @wnba),September,Sunday,78889
170607,30461718,Album,Two pivotal Game 4s on the #WNBAPlayoffs schedule today. @atlantadream and @seattlestorm sit one game away from the finals. ??: ESPN2,September,Sunday,63829
860846,30442523,Video,"Everybody notices my beard. Celebrate #NationalBeardDay with The Beard himself, @jharden13!",September,Saturday,82453
852394,30442523,Video,No. 2??...@giannis_an34 ELECTRIFIES The Garden! ?? #BESTofNBA,September,Saturday,72986
818200,30442523,Video,@easymoneysniper DELIVERS for @warriors in Game 3 for No.3 of the BEST plays from 2017-18 season! #BESTofNBA,September,Saturday,68615
965460,30442523,Video,GOODNIGHT CLEVELAND! @kingjames for the @cavs win for No.4! #BESTofNBA,September,Saturday,63807
1066099,30442523,Video,Coming in at No.5...@kyrieirving SOMEHOW finds a way to the rim! #BESTofNBA,September,Saturday,58720
336617,30442523,Album,10-9-8-7-6. The BEST plays from the 2017-18 season! #BESTofNBA,September,Saturday,55366
348949,30442523,Album,2??0?? - 1??1?? Counting down the BEST plays from the 2017-18 season! Swipe ? #BESTofNBA,September,Saturday,53019
875585,30442523,Video,Go around the association with the BEST plays from all 30 teams during the 2017-18 season! #BESTofNBA,September,Saturday,48930
311426,30423779,Album,"The @phoenixmercury stave off elimination, while the @atlantadream take a 2-1 series lead! #WNBAPlayoffs",September,Saturday,16276
687998,30423779,Video,???? Counting down the top 3 DISHES of the season from @milosteodosic4 for the @laclippers in 2017-18! #BESTofNBA,August,Friday,55917
633390,30423779,Video,46 days from #KiaTipOff18...we look back to a career-high 46 POINTS from @joelembiid to lead @sixers to road win in LA!,August,Friday,48467
279193,30400933,Photo,??x?? Greatness! (repost @neymarjr),August,Friday,27837
696660,30400933,Video,"Its about the small things in life. An emotional David West reflects after his first @nba title with @warriors in 2017. A 2x All-Star & 2x Champ, David West announced his retirement today after 15 seasons (repost @nbahistory).",August,Friday,9013
622313,30400933,Video,@frank_ntilikina wins the @nba2k Celebrity Tournament! #NBA2K19,August,Thursday,80918
205326,30400933,Photo,@dloading & @frank_ntilikina go head-to-head in a game of #NBA2K19 at the @nba2k Celebrity Tournament!,August,Thursday,75553
616625,30400933,Video,"Out @nbastore in NYC, @kknox_23 gifts a young @nyknicks fan for his birthday! #ThisIsWhyWePlay ????",August,Thursday,72431
617278,30400933,Video,An inspiration for generations to come. Vince Carter talking 360 dunks with @everybody_hatechriss @jrnba World Championships!,August,Thursday,70892
638580,30378327,Video,@lakers #TeamDay continues with the top 3 PLAYS of the season from @kuz! #BESTofNBA,August,Wednesday,59402
638580,30378327,Video,Its @lakers #TeamDay! Top 3 PLAYS from @zo in his rookie season! #BESTofNBA,August,Wednesday,51611
690485,30363424,Video,"#Repost @wnba
???
DT calls OT ???? Semifinals Game 2 between @phoenixmercury & @seattlestorm heads to overtime after Taurasi's clutch basket! #WNBAPlayoffs",August,Wednesday,15779
682226,30363424,Video,"For all the circus shots, #GraciasManu @manuginobili",August,Tuesday,67027
682226,30363424,Video,The passing wizardry from @manuginobili! #GraciasManu,August,Tuesday,63004
846285,30363424,Video,????? ????? TOP 3 PLAYS from @stephencurry30 for the @warriors this past season! #BESTofNBA,August,Tuesday,56437
276582,30340535,Album,"Gregg Popovich, Tim Duncan & Tony Parker on @manuginobili. Swipe ?  #GraciasManu",August,Tuesday,9128
802152,30340535,Video,@manuginobili knocked it out of midair! ?? ?? #GraciasManu,August,Tuesday,5912
619529,30340535,Video,"#Repost @nbahistory. #GraciasManu
???
From 2005, his growing impact on the @spurs and becoming a star! Thank you, @manuginobili.",August,Tuesday,2329
